"filename", "language", "Vue", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\backlog\index.vue", "Vue", 19, 0, -2, 17
"Total", "-", 19, 0, -2, 17
